task_id,duration
set_path,0.131211
create_schema,0.339373
set_dist_ref_schema,0.278084
create_temp_schema,0.119204
load_BatchDate,0.099158
load_dimDate,0.211244
load_taxRate,0.114301
load_statusType,0.116112
load_Industry,0.124612
load_tradetype,0.117933
load_dimTime,0.268503
load_dimBroker,0.231942
Parse_Finwire,3.324692
load_dimCompany,0.195766
load_Financial,106.770008
load_prospect,1.100247
cnvrt_customermgmt,339.964115
load_customermgmt,0.290643
load_dimcustomer,1.231491
load_dimessages_dimcustomer,0.135394
update_prospect,0.277136
load_dimaccount,0.835468
load_CashBalances,9.421289
load_dimSecurity,12.884588
load_trade_history,1.981535
load_trade,3.200172
load_dimtrade,32.261376
load_dimessages_dimtrade,0.221397
load_dailymarket,5.654383
load_fact_market_history,150.934736
load_dimessages_factmarkethistory,0.16052
load_watchhistory,2.192472
load_factwatches,5.407729
load_holdings,15.078853
run_validation_query_Init,0.159627
run_validation_query_HistLoad,1.731858
