task_id,duration
set_path,0.118772
create_schema,0.267746
set_dist_ref_schema,0.276058
create_temp_schema,0.118195
load_BatchDate,0.097401
load_dimDate,0.199949
load_taxRate,0.115918
load_statusType,0.11724
load_Industry,0.119406
load_tradetype,0.11427
load_dimTime,0.271922
load_dimBroker,0.320697
Parse_Finwire,5.242509
load_dimCompany,0.23997
load_Financial,158.662313
load_prospect,1.656321
cnvrt_customermgmt,1982.176169
load_customermgmt,0.372992
load_dimcustomer,1.729966
load_dimessages_dimcustomer,0.1437
update_prospect,0.43399
load_dimaccount,1.374635
load_CashBalances,13.95457
load_dimSecurity,28.877369
load_trade_history,2.990552
load_trade,4.696908
load_dimtrade,52.590391
load_dimessages_dimtrade,0.305948
load_dailymarket,7.963776
load_fact_market_history,234.790966
load_dimessages_factmarkethistory,0.158369
load_watchhistory,3.783508
load_factwatches,8.526922
load_holdings,24.540589
run_validation_query_Init,0.158706
run_validation_query_HistLoad,2.770788
